image_id,storm_id,relative_time,ocean,wind_speed,train
bcf_019,bcf,43201,1,153,1
bcf_020,bcf,45002,1,155,1
bcf_021,bcf,46801,1,158,1
bcf_022,bcf,48601,1,160,1
bcf_023,bcf,50401,1,163,1
bcf_024,bcf,54002,1,168,1
bcf_025,bcf,55801,1,170,1
bcf_026,bcf,57601,1,173,1
bcf_027,bcf,59402,1,175,1
bcf_028,bcf,61201,1,178,1
bcf_029,bcf,64801,1,180,1
bcf_030,bcf,66601,1,181,1
bcf_031,bcf,68402,1,181,1
bcf_032,bcf,70201,1,182,1
bcf_033,bcf,72001,1,182,1
bcf_034,bcf,75600,1,183,1
bcf_035,bcf,77400,1,183,1
bcf_036,bcf,79199,1,184,1
bcf_037,bcf,81000,1,184,1
bcf_038,bcf,82800,1,185,1
bcf_039,bcf,86400,1,185,1
bcf_040,bcf,88200,1,184,1
bcf_041,bcf,90000,1,184,1
bcf_042,bcf,91802,1,183,1
bcf_043,bcf,93599,1,183,1
bcf_044,bcf,97200,1,182,1
bcf_045,bcf,99001,1,182,1
bcf_046,bcf,100801,1,181,1
dce_198,dce,712797,2,155,1
dce_199,dce,716397,2,155,1
dce_200,dce,719997,2,155,1
dce_201,dce,723597,2,155,1
dce_202,dce,727197,2,155,1
dce_203,dce,730797,2,155,1
dce_204,dce,734397,2,160,1
dce_205,dce,737997,2,160,1
dce_206,dce,741597,2,160,1
dce_207,dce,745197,2,160,1
dce_208,dce,748797,2,160,1
dce_209,dce,752397,2,160,1
dce_210,dce,755997,2,155,1
dce_211,dce,759597,2,155,1
dce_212,dce,763197,2,155,1
rdc_047,rdc,347400,2,154,1
rdc_048,rdc,349199,2,154,1
rdc_049,rdc,352801,2,155,1
rdc_050,rdc,354601,2,155,1
rdc_051,rdc,356402,2,155,1
rdc_052,rdc,358201,2,155,1
rdc_053,rdc,360001,2,155,1
rdc_054,rdc,363602,2,155,1
rdc_055,rdc,365401,2,155,1
rdc_056,rdc,367201,2,155,1
rdc_057,rdc,369001,2,155,1
rdc_058,rdc,370803,2,155,1
rdc_059,rdc,374401,2,155,1
rdc_060,rdc,376201,2,155,1
rdc_061,rdc,378002,2,155,1
rdc_062,rdc,379801,2,155,1
rdc_063,rdc,381601,2,155,1
rdc_064,rdc,385201,2,155,1
rdc_065,rdc,387003,2,155,1
rdc_066,rdc,388801,2,155,1
tmv_103,tmv,347400,2,151,1
tmv_104,tmv,349200,2,152,1
tmv_105,tmv,351000,2,153,1
tmv_106,tmv,352800,2,154,1
xgr_011,xgr,23402,1,151,1
xgr_012,xgr,25202,1,151,1
xgr_013,xgr,27002,1,152,1
xgr_014,xgr,28802,1,152,1
xgr_015,xgr,32402,1,153,1
xgr_016,xgr,43202,1,155,1
xgr_017,xgr,45002,1,155,1
xgr_018,xgr,46802,1,155,1
xgr_019,xgr,48602,1,155,1
xgr_020,xgr,50402,1,155,1
xgr_021,xgr,52202,1,155,1
xgr_022,xgr,54000,1,155,1
xgr_023,xgr,55801,1,155,1
xgr_024,xgr,57600,1,155,1
xgr_025,xgr,59401,1,155,1
xgr_026,xgr,61201,1,155,1
bcf_047,bcf,102600,1,181,0
bcf_048,bcf,104400,1,180,0
bcf_049,bcf,108001,1,175,0
bcf_050,bcf,109802,1,170,0
bcf_051,bcf,111600,1,165,0
bcf_052,bcf,113400,1,160,0
bcf_053,bcf,115200,1,155,0
dce_213,dce,766797,2,155,0
dce_214,dce,770397,2,155,0
dce_215,dce,773996,2,155,0
rdc_067,rdc,390601,2,155,0
rdc_068,rdc,392400,2,155,0
rdc_069,rdc,396000,2,155,0
rdc_070,rdc,397800,2,155,0
tmv_107,tmv,356400,2,155,0
xgr_027,xgr,64801,1,154,0
xgr_028,xgr,66600,1,152,0
xgr_029,xgr,68400,1,151,0
