image_id,storm_id,relative_time,ocean,wind_speed,train
acd_000,acd,0,1,30,1
acd_001,acd,1800,1,30,1
acd_002,acd,3600,1,30,1
acd_003,acd,5400,1,30,1
acd_004,acd,12598,1,30,1
acd_005,acd,14400,1,30,1
acd_006,acd,16200,1,30,1
acd_007,acd,18000,1,30,1
acd_008,acd,21599,1,30,1
acd_009,acd,23398,1,30,1
acd_010,acd,25199,1,30,1
acd_011,acd,26998,1,30,1
acd_012,acd,28798,1,30,1
acd_013,acd,32398,1,30,1
acd_014,acd,34199,1,30,1
acd_015,acd,35999,1,30,1
acd_016,acd,37799,1,30,1
acd_017,acd,39599,1,30,1
acd_018,acd,43198,1,30,1
acd_019,acd,44998,1,30,1
acd_020,acd,46798,1,30,1
acd_021,acd,48598,1,30,1
acd_022,acd,50398,1,30,1
acd_023,acd,54000,1,30,1
aek_000,aek,0,1,25,1
aek_001,aek,3600,1,25,1
aek_002,aek,7200,1,25,1
aek_003,aek,10800,1,25,1
aek_004,aek,14400,1,25,1
aek_005,aek,18000,1,25,1
aek_006,aek,21600,1,25,1
aek_007,aek,25200,1,25,1
aek_008,aek,28800,1,25,1
aek_009,aek,32400,1,25,1
aek_010,aek,36000,1,25,1
aek_011,aek,39600,1,25,1
aek_012,aek,43200,1,30,1
aek_013,aek,46800,1,30,1
aek_014,aek,50400,1,30,1
afs_086,afs,253798,2,26,1
afs_087,afs,255598,2,26,1
afs_088,afs,259198,2,25,1
afs_089,afs,261000,2,25,1
afs_090,afs,262798,2,25,1
afs_091,afs,264599,2,25,1
afs_092,afs,266399,2,25,1
afs_093,afs,269998,2,25,1
afs_094,afs,271799,2,25,1
afs_095,afs,275398,2,25,1
afs_096,afs,280797,2,25,1
afs_097,afs,282598,2,25,1
afs_098,afs,284397,2,25,1
afs_099,afs,287997,2,25,1
afs_100,afs,291597,2,25,1
afs_101,afs,295197,2,25,1
afs_102,afs,296997,2,25,1
afs_103,afs,298798,2,25,1
afs_104,afs,302396,2,25,1
afs_105,afs,304197,2,25,1
afs_106,afs,305997,2,25,1
afs_107,afs,307797,2,25,1
afs_108,afs,309597,2,25,1
afs_109,afs,313197,2,25,1
afs_110,afs,314997,2,25,1
afs_111,afs,316797,2,25,1
afs_112,afs,318598,2,25,1
afs_113,afs,320398,2,25,1
afs_114,afs,323998,2,25,1
afs_115,afs,325798,2,25,1
afs_116,afs,327598,2,25,1
afs_117,afs,329398,2,25,1
afs_118,afs,331200,2,25,1
afs_119,afs,334798,2,25,1
afs_120,afs,336599,2,25,1
afs_121,afs,338398,2,25,1
afs_122,afs,340198,2,25,1
afs_123,afs,341998,2,25,1
afs_124,afs,345598,2,25,1
afs_125,afs,347398,2,25,1
afs_126,afs,349200,2,25,1
afs_127,afs,350999,2,25,1
afs_128,afs,352798,2,25,1
afs_129,afs,356398,2,25,1
afs_130,afs,358198,2,25,1
afs_131,afs,361798,2,25,1
afs_132,afs,367197,2,25,1
afs_133,afs,368998,2,25,1
afs_134,afs,370797,2,25,1
afs_135,afs,374397,2,25,1
afs_136,afs,377997,2,25,1
afs_137,afs,381597,2,25,1
afs_138,afs,383399,2,25,1
afs_139,afs,385198,2,25,1
afs_140,afs,388797,2,25,1
afs_141,afs,390598,2,25,1
afs_142,afs,392397,2,25,1
afs_143,afs,394197,2,25,1
afs_144,afs,395997,2,25,1
afs_145,afs,399599,2,25,1
agl_000,agl,0,2,22,1
agl_001,agl,3600,2,23,1
agl_081,agl,403201,2,30,1
agl_082,agl,405003,2,30,1
agl_083,agl,406801,2,30,1
agl_084,agl,408602,2,30,1
agl_085,agl,410402,2,30,1
agl_086,agl,414001,2,30,1
agl_087,agl,415801,2,30,1
aja_000,aja,0,1,30,1
aja_001,aja,1801,1,30,1
aja_002,aja,3601,1,30,1
aja_003,aja,5400,1,30,1
aja_004,aja,7201,1,30,1
aja_005,aja,10800,1,30,1
aja_006,aja,12600,1,30,1
aja_007,aja,14401,1,30,1
aja_008,aja,16200,1,30,1
aja_009,aja,18000,1,30,1
aja_010,aja,21600,1,30,1
aja_011,aja,23401,1,30,1
aja_012,aja,25200,1,30,1
aja_013,aja,27000,1,30,1
aja_014,aja,28800,1,30,1
aja_015,aja,32402,1,30,1
aja_016,aja,34202,1,30,1
aja_017,aja,36002,1,30,1
aja_018,aja,37802,1,30,1
aja_019,aja,39602,1,30,1
aja_020,aja,48602,1,30,1
aja_021,aja,54002,1,30,1
aja_022,aja,66602,1,30,1
aja_023,aja,68402,1,30,1
aja_024,aja,70202,1,30,1
aja_025,aja,77400,1,30,1
aja_026,aja,79201,1,30,1
aja_027,aja,81001,1,30,1
aja_028,aja,82801,1,30,1
aja_029,aja,86400,1,30,1
aja_048,aja,126002,1,30,1
aja_049,aja,129602,1,30,1
aja_050,aja,131402,1,30,1
aja_051,aja,133202,1,30,1
aja_052,aja,135002,1,30,1
aja_053,aja,136802,1,30,1
aja_054,aja,140402,1,30,1
aja_055,aja,153002,1,30,1
aja_056,aja,154802,1,30,1
