image_id,storm_id,relative_time,ocean,wind_speed,category,category_fold
wtg_033,wtg,70200,2,46,1,0
wtg_061,wtg,131399,2,40,1,0
bkf_020,bkf,45001,2,45,1,0
rpk_105,rpk,226802,1,54,1,0
azb_066,azb,163800,2,60,1,0
ylm_040,ylm,107999,1,43,1,0
vaj_030,vaj,82800,1,40,1,0
fgi_274,fgi,594000,1,42,1,0
pau_020,pau,43202,1,60,1,0
gkf_198,gkf,426600,2,50,1,0
dti_069,dti,180001,2,45,1,0
hmv_081,hmv,180000,1,52,1,0
nkd_186,nkd,401400,1,52,1,0
vfc_082,vfc,176400,1,40,1,0
tmj_015,tmj,86400,2,51,1,0
ssq_125,ssq,450003,1,40,1,0
mhm_052,mhm,129598,2,45,1,0
xjo_464,xjo,1006198,1,40,1,0
cpf_148,cpf,318598,2,51,1,0
ing_332,ing,718200,1,38,1,0
xjj_041,xjj,91800,1,48,1,0
ixs_081,ixs,176399,1,40,1,0
yti_070,yti,252001,1,45,1,0
xmt_057,xmt,167398,2,50,1,0
fns_041,fns,174600,2,56,1,0
upx_200,upx,433801,1,57,1,0
gkd_033,gkd,70202,1,40,1,0
vib_042,vib,115201,2,42,1,0
woc_127,woc,275398,1,38,1,0
umz_006,umz,10799,1,45,1,0
pug_043,pug,91800,1,38,1,0
wvi_005,wvi,10800,1,40,1,0
vfl_089,vfl,228601,2,42,1,0
tkb_104,tkb,224998,1,38,1,0
abs_047,abs,145799,2,50,1,0
ogw_151,ogw,325802,1,54,1,0
cki_009,cki,30599,1,58,1,0
crw_061,crw,167400,1,44,1,0
tlc_224,tlc,485999,1,60,1,0
sxb_061,sxb,169201,2,54,1,0
blq_159,blq,417600,1,45,1,0
pxi_073,pxi,156601,1,40,1,0
wlz_102,wlz,219601,2,40,1,0
ztb_053,ztb,118800,1,55,1,0
wzu_023,wzu,48601,1,42,1,0
hfh_102,hfh,367189,1,45,1,0
yoa_016,yoa,39601,2,49,1,0
sha_099,sha,212404,2,54,1,0
fcr_422,fcr,912599,1,55,1,0
bvg_083,bvg,216001,1,45,1,0
xkr_076,xkr,169200,1,45,1,0
hht_185,hht,498601,1,54,1,0
mtw_180,mtw,390602,1,45,1,0
dpf_003,dpf,180000,2,45,1,0
qzd_184,qzd,396002,1,43,1,0
mfm_151,mfm,423000,1,45,1,0
kzi_006,kzi,12601,2,48,1,0
iiz_097,iiz,210600,1,49,1,0
ise_038,ise,80997,1,55,1,0
iaz_007,iaz,72000,2,51,1,0
dkb_065,dkb,183601,2,60,1,0
sha_064,sha,136802,2,50,1,0
hlt_069,hlt,147600,2,50,1,0
blz_003,blz,5401,2,50,1,0
eml_029,eml,62997,1,38,1,0
vlo_056,vlo,136801,1,40,1,0
qki_354,qki,770401,1,51,1,0
ztb_049,ztb,109802,1,53,1,0
dxx_021,dxx,55801,2,52,1,0
ity_118,ity,342000,2,54,1,0
abs_038,abs,125998,2,54,1,0
hsq_036,hsq,135001,1,57,1,0
qss_075,qss,162000,1,52,1,0
csd_007,csd,14400,2,40,1,0
ywf_103,ywf,289798,1,59,1,0
ohj_052,ohj,111601,1,56,1,0
hlt_119,hlt,305999,2,39,1,0
soo_189,soo,419401,1,60,1,0
mtw_304,mtw,660602,1,40,1,0
wnw_021,wnw,99000,2,60,1,0
zzp_066,zzp,172800,1,55,1,0
bkh_259,bkh,669600,1,40,1,0
xmt_090,xmt,239398,2,49,1,0
yoa_012,yoa,28799,2,44,1,0
gic_170,gic,612003,2,40,1,0
qyo_059,qyo,518401,2,40,1,0
vfc_092,vfc,197999,1,40,1,0
dft_053,dft,113401,1,42,1,0
vsc_096,vsc,345601,1,60,1,0
ssq_012,ssq,43200,1,45,1,0
amn_122,amn,264601,2,54,1,0
lqy_086,lqy,185400,2,56,1,0
djb_062,djb,136801,1,40,1,0
zoi_097,zoi,208799,2,45,1,0
ohj_047,ohj,100801,1,55,1,0
xjo_479,xjo,1038599,1,40,1,0
zmi_044,zmi,93600,1,55,1,0
zgr_137,zgr,296998,1,45,1,0
gio_037,gio,82802,1,39,1,0
pbk_018,pbk,37800,2,43,1,0
fkt_064,fkt,174600,2,45,1,0
qxu_135,qxu,296999,2,43,1,0
eck_054,eck,169200,2,59,1,0
xzi_073,xzi,199800,2,54,1,0
jrt_059,jrt,126002,1,45,1,0
vzn_012,vzn,25200,2,40,1,0
ssq_020,ssq,72000,1,55,1,0
eke_033,eke,70201,2,43,1,0
tjj_037,tjj,99001,1,40,1,0
rkm_083,rkm,275400,2,50,1,0
qxu_095,qxu,205199,2,45,1,0
ipa_383,ipa,827999,1,45,1,0
ywf_133,ywf,372598,1,38,1,0
xog_014,xog,50400,1,40,1,0
ztb_095,ztb,208801,1,55,1,0
uhd_007,uhd,14399,1,45,1,0
tnj_029,tnj,302398,2,40,1,0
pyi_126,pyi,273600,1,55,1,0
dpf_052,dpf,286199,2,46,1,0
mhm_045,mhm,113399,2,45,1,0
vkb_164,vkb,352800,2,43,1,0
pjj_044,pjj,93599,1,52,1,0
idp_034,idp,99000,2,45,1,0
rhy_018,rhy,81000,2,49,1,0
xmt_131,xmt,327598,2,45,1,0
ise_056,ise,120598,1,49,1,0
cjz_040,cjz,145801,2,53,1,0
bkf_172,bkf,397799,2,45,1,0
acd_048,acd,118798,1,41,1,0
tmj_023,tmj,102600,2,54,1,0
ztb_251,ztb,545401,1,47,1,0
yfn_054,yfn,158400,2,50,1,0
whm_060,whm,129600,1,56,1,0
lac_186,lac,680397,2,45,1,0
hlt_028,hlt,59399,2,43,1,0
gst_058,gst,124201,2,55,1,0
vkb_229,vkb,493201,2,39,1,0
sxb_325,sxb,1016999,2,54,1,0
nue_141,nue,525601,2,45,1,0
jrt_074,jrt,158400,1,45,1,0
hfh_117,hfh,421189,1,40,1,0
eml_038,eml,80998,1,42,1,0
cxh_094,cxh,226800,1,61,1,0
qpq_290,qpq,628198,1,59,1,0
xtd_018,xtd,37801,1,48,1,0
tgs_025,tgs,73798,1,53,1,0
mtw_249,mtw,541800,1,45,1,0
ywf_038,ywf,109799,1,45,1,0
eml_084,eml,181800,1,49,1,0
crw_067,crw,180000,1,47,1,0
erd_113,erd,406802,2,55,1,0
ity_046,ity,131399,2,40,1,0
blq_212,blq,566998,1,43,1,0
vhn_017,vhn,88200,2,51,1,0
moa_043,moa,165601,2,51,1,0
vkb_228,vkb,491401,2,39,1,0
dpf_063,dpf,309599,2,52,1,0
llj_005,llj,10800,1,40,1,0
gxi_046,gxi,99001,2,56,1,0
