image_id,storm_id,relative_time,ocean,wind_speed,category,category_fold
sqi_109,sqi,307798,1,25,0,0
xuy_092,xuy,198000,2,30,0,0
fpa_026,fpa,82800,1,29,0,0
wvi_254,wvi,556199,1,20,0,0
sse_262,sse,723602,1,20,0,0
pjj_261,pjj,563400,1,34,0,0
sse_286,sse,793802,1,20,0,0
ywf_526,ywf,1382400,1,25,0,0
xtr_017,xtr,45000,2,35,0,0
scw_036,scw,97199,1,25,0,0
htc_114,htc,246600,1,35,0,0
buv_137,buv,359999,1,30,0,0
dce_014,dce,50399,2,35,0,0
ibx_016,ibx,34201,1,28,0,0
soo_217,soo,480598,1,36,0,0
umz_159,umz,338401,1,25,0,0
xkr_118,xkr,262801,1,29,0,0
ing_382,ing,826199,1,35,0,0
hig_072,hig,212399,1,30,0,0
ojv_254,ojv,547200,1,25,0,0
utr_186,utr,405000,1,30,0,0
hht_006,hht,12600,1,28,0,0
qxu_016,qxu,34198,2,36,0,0
hzg_008,hzg,16199,2,25,0,0
ftb_016,ftb,57600,2,35,0,0
scw_170,scw,460800,1,30,0,0
quo_027,quo,97200,2,30,0,0
qpq_020,qpq,43199,1,25,0,0
gzl_003,gzl,5399,2,30,0,0
vlo_194,vlo,496801,1,20,0,0
upj_051,upj,111600,1,31,0,0
hdi_003,hdi,5400,2,34,0,0
cna_132,cna,284400,2,35,0,0
pau_209,pau,453600,1,30,0,0
ymo_158,ymo,413999,1,30,0,0
vye_257,vye,584999,1,34,0,0
ojv_310,ojv,669599,1,25,0,0
zvv_234,zvv,507600,1,35,0,0
ycz_004,ycz,7200,1,30,0,0
tmq_014,tmq,28800,1,28,0,0
orp_104,orp,225001,2,35,0,0
nkd_235,nkd,507598,1,30,0,0
yjk_029,yjk,104400,2,35,0,0
dnd_112,dnd,374400,2,30,0,0
qim_085,qim,219602,1,29,0,0
yry_017,yry,61192,2,25,0,0
aph_085,aph,243000,2,27,0,0
yfj_082,yfj,176400,1,35,0,0
mtw_338,mtw,734401,1,30,0,0
mfu_288,mfu,624601,1,20,0,0
ojv_237,ojv,511200,1,25,0,0
mca_048,mca,104399,1,30,0,0
ydl_310,ydl,658802,1,25,0,0
aoe_069,aoe,248402,1,15,0,0
tnd_054,tnd,129601,1,30,0,0
gme_013,gme,27002,1,30,0,0
dnd_163,dnd,523800,2,25,0,0
fgi_350,fgi,759601,1,25,0,0
fna_400,fna,867602,1,35,0,0
dva_012,dva,44998,1,35,0,0
cki_153,cki,437401,1,37,0,0
cjx_084,cjx,244799,2,22,0,0
wzu_272,wzu,604800,1,20,0,0
gme_185,gme,399600,1,35,0,0
hvz_029,hvz,59400,1,30,0,0
moa_012,moa,25200,2,36,0,0
rml_240,rml,543599,2,35,0,0
xkr_012,xkr,25201,1,25,0,0
pbl_013,pbl,26998,1,37,0,0
orp_173,orp,374402,2,29,0,0
zyp_120,zyp,264600,1,28,0,0
pth_214,pth,464399,1,25,0,0
rkw_128,rkw,356401,2,33,0,0
eon_020,eon,43198,2,35,0,0
kxo_003,kxo,5400,1,32,0,0
ywf_474,ywf,1250998,1,20,0,0
xjo_528,xjo,1146600,1,35,0,0
mwm_045,mwm,127798,1,20,0,0
utr_165,utr,360001,1,30,0,0
pxi_061,pxi,131401,1,36,0,0
ugo_002,ugo,3600,1,30,0,0
zgi_353,zgi,765000,1,20,0,0
vye_445,vye,990000,1,25,0,0
gio_138,gio,300600,1,25,0,0
dli_208,dli,448199,1,20,0,0
wap_018,wap,46799,1,36,0,0
utr_143,utr,309602,1,30,0,0
sqi_175,sqi,475199,1,30,0,0
ydl_200,ydl,421200,1,33,0,0
xmf_191,xmf,423000,1,30,0,0
pbk_049,pbk,104400,2,31,0,0
aja_179,aja,477002,1,15,0,0
nkd_301,nkd,655199,1,25,0,0
rkf_084,rkf,192598,2,25,0,0
vfc_129,vfc,277199,1,30,0,0
yry_021,yry,75591,2,30,0,0
pau_214,pau,464401,1,30,0,0
mfm_025,mfm,71999,1,30,0,0
bxd_052,bxd,111600,1,30,0,0
lds_045,lds,97200,2,30,0,0
tlc_001,tlc,1800,1,30,0,0
nue_071,nue,270001,2,35,0,0
zmi_189,zmi,410400,1,25,0,0
pxi_002,pxi,3600,1,30,0,0
mwm_037,mwm,95400,1,24,0,0
soo_225,soo,498599,1,31,0,0
tnd_032,tnd,81000,1,35,0,0
dft_024,dft,50401,1,30,0,0
pjj_331,pjj,723601,1,25,0,0
ohj_007,ohj,14401,1,34,0,0
cki_179,cki,505800,1,26,0,0
jrt_030,jrt,64800,1,35,0,0
ewt_200,ewt,509399,1,30,0,0
smj_003,smj,5400,2,36,0,0
hmv_229,hmv,502198,1,30,0,0
wjq_064,wjq,172800,1,25,0,0
vaj_014,vaj,28800,1,37,0,0
dpc_207,dpc,448201,1,37,0,0
ing_342,ing,739799,1,35,0,0
ist_017,ist,36000,1,35,0,0
fuv_035,fuv,77400,1,30,0,0
dnd_200,dnd,622800,2,25,0,0
pbl_268,pbl,584999,1,25,0,0
vlo_174,vlo,444599,1,20,0,0
wjq_079,wjq,205202,1,20,0,0
pbl_254,pbl,550797,1,25,0,0
xrh_101,xrh,365402,2,20,0,0
oxm_041,oxm,89999,1,25,0,0
alq_002,alq,3600,1,25,0,0
iiz_010,iiz,21601,1,30,0,0
hdi_008,hdi,16199,2,35,0,0
grt_166,grt,363598,1,32,0,0
nkd_292,nkd,637198,1,25,0,0
umz_108,umz,226799,1,33,0,0
